Fat,Water,Protein
60.5,22.5,16.7
46.0,40.1,13.5
71.0,8.4,20.5
72.8,5.9,20.7
58.3,25.5,15.5
44.0,42.7,13.7
44.0,42.7,13.7
69.3,10.6,19.3
61.4,19.9,17.7
61.4,19.9,17.7
41.4,46.0,12.5
76.6,0.9,21.2
72.7,2.9,21.7
71.4,3.5,21.5
69.8,4.0,21.3
74.5,5.2,20.2
73.5,5.6,20.0
74.1,6.3,19.2
67.3,7.2,20.1
71.8,7.8,20.2
72.45,7.9,19.7
71.6,9.2,18.7
69.4,9.3,18.2
67.9,10.2,21.5
65.5,12.5,17.0
64.6,13.5,16.7
65.5,13.5,16.2
61.4,14.6,15.8
61.4,14.6,15.8
66.2,16.3,17.5
67.1,18.6,11.6
60.5,20.9,17.2
60.6,21.2,17.8
60.6,25.1,11.0
57.6,26.5,11.1
53.5,27.8,13.2
56.0,29.7,14.4
50.3,30.4,19.2
52.5,31.5,16.0
49.5,35.2,15.2
49.1,35.8,15.2
42.2,43.8,13.3
40.2,48.2,11.0
39.5,48.5,12.0
39.3,49.1,13.1
72.5,8.2,19.3
70.3,11.0,19.3
76.6,0.9,21.2
74.0,3.6,21.6
75.1,3.9,21.2
69.8,4.0,21.3
74.6,5.1,19.6
73.1,5.2,20.7
74.5,5.2,20.2
73.4,5.6,20.5
74.2,5.6,19.5
73.6,6.0,20.1
72.5,6.4,20.9
72.5,6.4,20.9
72.7,6.4,20.4
72.5,6.6,20.4
72.5,6.6,20.4
71.5,6.7,21.5
72.6,6.8,19.6
72.5,6.9,20.2
69.1,7.0,20.5
72.8,7.2,19.5
72.7,7.2,18.9
72.1,7.2,20.5
71.6,7.7,20.7
71.6,7.7,20.7
70.8,7.7,20.8
72.0,8.1,19.4
71.2,8.4,19.7
70.3,8.5,21.0
69.5,9.6,20.1
68.5,9.7,21.6
70.5,9.7,19.2
67.3,10.1,20.1
69.3,10.1,20.5
69.3,10.1,20.5
69.4,10.9,19.1
69.5,10.9,19.2
67.0,11.0,21.8
69.0,11.2,19.5
72.9,11.2,13.7
66.8,11.7,19.0
68.6,12.7,17.8
71.3,13.8,12.6
67.3,14.0,18.6
66.7,15.4,17.2
65.9,15.5,19.2
65.6,15.7,18.4
66.2,16.4,17.4
65.6,16.4,18.0
65.0,16.4,17.4
64.6,17.2,19.4
63.3,17.4,19.2
64.4,17.6,18.0
63.6,18.2,17.2
63.1,18.3,19.2
61.7,18.8,19.5
62.4,20.6,17.1
60.3,21.5,17.6
58.0,23.0,18.7
58.7,24.9,16.0
56.7,26.0,16.8
57.9,26.1,15.3
56.9,27.3,15.4
53.5,27.8,13.2
56.6,28.1,15.2
54.9,28.7,14.3
53.6,28.8,18.2
55.5,28.9,15.2
55.4,29.2,15.0
56.0,29.7,14.4
50.3,30.4,19.2
51.6,31.5,17.1
51.4,32.0,16.0
52.9,32.2,14.1
51.5,34.2,14.9
50.3,35.1,14.0
49.5,35.2,15.2
50.6,36.2,13.4
49.6,36.5,13.9
48.6,37.8,13.8
43.9,44.7,12.1
42.1,45.0,11.8
42.2,45.7,11.0
54.1,29.8,15.7
72.8,5.9,20.7
41.4,46.0,12.5
76.1,1.4,21.6
74.0,4.6,20.8
72.5,6.4,20.9
70.3,8.5,21.0
65.7,11.0,16.3
64.6,13.5,16.7
63.6,17.0,19.7
62.4,22.4,11.5
54.2,27.9,17.6
52.5,31.5,16.0
41.2,46.5,11.1
71.1,6.1,21.5
75.6,2.0,21.4
73.9,4.7,21.1
73.5,5.3,21.6
73.1,6.0,19.6
72.4,6.4,20.6
72.6,6.8,19.6
73.4,7.1,18.8
71.9,7.3,20.1
71.8,7.8,20.2
70.9,9.0,19.9
65.7,10.0,19.7
69.2,10.5,19.6
68.7,11.0,20.0
67.5,12.2,20.1
65.2,14.0,20.5
62.7,15.9,21.0
66.2,16.5,17.2
63.2,17.7,19.0
61.7,18.8,19.5
60.3,23.4,16.3
56.9,26.7,15.6
55.6,28.3,16.3
55.5,28.9,15.2
53.3,31.1,16.3
52.2,33.7,14.2
49.5,35.2,15.2
48.5,38.5,12.2
42.1,46.3,11.5
40.7,47.7,11.8
58.3,25.5,15.5
69.3,10.6,19.3
75.6,2.0,21.4
70.7,4.7,20.5
72.6,6.8,19.6
71.5,8.6,19.4
72.9,11.2,13.7
71.3,13.8,12.6
59.7,17.7,15.8
59.8,23.3,16.4
55.5,29.0,16.6
50.3,34.8,14.6
41.0,47.8,11.6
65.2,11.1,19.2
72.7,2.9,21.7
72.1,4.8,21.6
73.5,5.6,20.0
73.6,6.2,19.3
72.5,6.4,20.9
73.4,6.8,18.7
72.0,7.1,19.0
73.2,7.3,19.9
71.9,7.9,19.1
69.5,9.2,21.5
67.9,10.1,19.5
71.1,10.7,17.7
65.7,11.2,19.4
68.1,12.5,18.6
66.8,14.3,17.4
64.7,16.0,19.0
63.6,17.0,19.7
63.0,18.1,18.6
62.5,19.4,17.9
55.3,24.8,19.3
56.6,27.2,15.7
54.4,28.4,14.4
55.4,29.2,15.0
53.4,31.3,15.3
51.6,33.8,13.8
50.3,35.5,13.2
44.9,42.5,12.0
41.0,47.8,11.6
