seed,condicao,r2
0,lit,0.7864725999202761
0,rand,0.734881277172765
1,lit,0.7900596413882179
1,rand,0.7906196003768922
2,lit,0.7849838195398479
2,rand,0.757702530867074
3,lit,0.801742871443251
3,rand,0.7727032396394126
4,lit,0.7986354721343709
4,rand,0.7634979831456421
5,lit,0.7762315717660309
5,rand,0.7742757442922182
6,lit,0.806380769613251
6,rand,0.8066783856421766
7,lit,0.8000758429748366
7,rand,0.7832773815332226
8,lit,0.7809537075723376
8,rand,0.7585161418294065
9,lit,0.7855171832974318
9,rand,0.7673826597832729
