n_target,n_actual,seed,model_name,r2,rmse
30,30,0,PGSGv2,0.07615766023343529,2.6508638411822547
30,30,0,PGSGv2-random,0.043264745602857424,2.697642399320159
30,30,0,PLS,-0.7200426309652455,3.6170798447955295
30,30,0,MLP,-1.2202495167410006,4.109503761238621
30,30,0,CNN1D-shallow,0.07332717903969554,2.6549216125119064
60,60,0,PGSGv2,0.15810445498199688,2.530565575779942
60,60,0,PGSGv2-random,0.1683558456516645,2.515111597263826
60,60,0,PLS,0.06956567670647262,2.6603045157144503
60,60,0,MLP,-0.27828117413642106,3.118183625628894
60,60,0,CNN1D-shallow,0.08817486392846674,2.633566385165147
100,100,0,PGSGv2,0.23876804451617106,2.406284622672955
100,100,0,PGSGv2-random,0.2276868434592899,2.4237354042869783
100,100,0,PLS,0.24833953394884156,2.391108837651259
100,100,0,MLP,-0.0835859572839095,2.870913941305191
100,100,0,CNN1D-shallow,0.1804606229261716,2.4967404812962783
200,200,0,PGSGv2,0.4499493050674154,2.045454621138235
200,200,0,PGSGv2-random,0.4926819960664076,1.9643941299263799
200,200,0,PLS,0.4673928525771862,2.0127599641498093
200,200,0,MLP,0.1479733032504803,2.5457461262044663
200,200,0,CNN1D-shallow,0.2889687709000218,2.325588268936482
400,400,0,PGSGv2,0.6360711529210074,1.6637831857040626
400,400,0,PGSGv2-random,0.6360517928793037,1.6638274395242083
400,400,0,PLS,0.5478487666001577,1.8545149986868172
400,400,0,MLP,0.6079788300663418,1.7268048126923596
400,400,0,CNN1D-shallow,0.51087509782928,1.9288496527677006
700,700,0,PGSGv2,0.6910032718173404,1.533082162492756
700,700,0,PGSGv2-random,0.6982470767697407,1.5150055826642588
700,700,0,PLS,0.55951237218416,1.8304393669584842
700,700,0,MLP,0.7019745592701359,1.5056192529699102
700,700,0,CNN1D-shallow,0.4522396793034772,2.0411916107960497
1159,1158,0,PGSGv2,0.7875310251870171,1.2712654714012814
1159,1158,0,PGSGv2-random,0.780979627933242,1.290716156535329
1159,1158,0,PLS,0.5683505213598066,1.8119829236579335
1159,1158,0,MLP,0.7873087503613365,1.2719302659837879
1159,1158,0,CNN1D-shallow,0.653020508827389,1.6245773466738491
30,30,1,PGSGv2,0.07855364484537974,2.647424102520152
30,30,1,PGSGv2-random,0.06110995210239245,2.6723655096472942
30,30,1,PLS,-0.8372848771150898,3.7383222906655025
30,30,1,MLP,-5.708806968312845,7.143501466898284
30,30,1,CNN1D-shallow,-0.9871526355179334,3.887801685404355
60,60,1,PGSGv2,0.23872387872249834,2.4063544265796004
60,60,1,PGSGv2-random,0.25461940160111873,2.381099436799025
60,60,1,PLS,0.16214782918039472,2.5244814846181978
60,60,1,MLP,-4.224670271114151,6.304025102470749
60,60,1,CNN1D-shallow,0.14324725923454285,2.5527967682261483
100,100,1,PGSGv2,0.03678086349417764,2.7067680484208183
100,100,1,PGSGv2-random,0.06853785340085894,2.6617734900408436
100,100,1,PLS,0.33919748043065334,2.2419418052166873
100,100,1,MLP,-0.25615566790115163,3.091079830282309
100,100,1,CNN1D-shallow,0.2129622454251514,2.446731274650541
200,200,1,PGSGv2,0.3347526298926381,2.2494693150659972
200,200,1,PGSGv2-random,0.3891995830000887,2.15545099083236
200,200,1,PLS,0.4330317717569976,2.076671733005098
200,200,1,MLP,0.1167284008327012,2.5920037368851543
200,200,1,CNN1D-shallow,0.20551602566139104,2.458278375631282
400,400,1,PGSGv2,0.6012443917772197,1.7415738386428445
400,400,1,PGSGv2-random,0.5377703750882062,1.8750695381230595
400,400,1,PLS,0.501891048366158,1.9464832169433806
400,400,1,MLP,0.2864767962064718,2.3296599875926285
400,400,1,CNN1D-shallow,0.40007626677498076,2.1361734437176234
700,700,1,PGSGv2,0.6836125967673563,1.551308178766035
700,700,1,PGSGv2-random,0.6691615196331593,1.5863408167647781
700,700,1,PLS,0.5379855043594921,1.8746331432364878
700,700,1,MLP,0.6635382216377589,1.5997656159983178
700,700,1,CNN1D-shallow,0.48220961837581,1.984565693435284
1159,1158,1,PGSGv2,0.778868286270757,1.296922443849297
1159,1158,1,PGSGv2-random,0.7755787069031873,1.3065334118491378
1159,1158,1,PLS,0.5683505213598066,1.8119829236579335
1159,1158,1,MLP,0.6976173416389921,1.5165856087809733
1159,1158,1,CNN1D-shallow,0.7141328354317367,1.4745877685895263
30,30,2,PGSGv2,0.20562342443943282,2.458112214308197
30,30,2,PGSGv2-random,0.2020571273700702,2.463623795146526
30,30,2,PLS,-0.3790459891644411,3.238753273307487
30,30,2,MLP,-1.4882849537460445,4.3504937282011396
30,30,2,CNN1D-shallow,-3.4843690784519916,5.840353907302239
60,60,2,PGSGv2,0.23740279774107398,2.408441455851191
60,60,2,PGSGv2-random,0.19653013741777747,2.4721412761786654
60,60,2,PLS,-0.06385367863569624,2.8446539345538158
60,60,2,MLP,-1.6105990911521473,4.456137482664158
60,60,2,CNN1D-shallow,-0.3430082909651371,3.1961550327786266
100,100,2,PGSGv2,0.33145792629604864,2.2550327951232982
100,100,2,PGSGv2-random,0.3005255480575718,2.3066113170702747
100,100,2,PLS,0.1835689042284131,2.4920012677982957
100,100,2,MLP,-0.12017616801383024,2.9189835971454903
100,100,2,CNN1D-shallow,0.1852339582607766,2.4894588398448847
200,200,2,PGSGv2,0.5070870510577926,1.9363042729209183
200,200,2,PGSGv2-random,0.46503236094987455,2.0172152653308775
200,200,2,PLS,0.45273086689928,2.040276216939043
200,200,2,MLP,0.27597326896426255,2.3467444015958248
200,200,2,CNN1D-shallow,0.3398402081534755,2.2408512307523303
400,400,2,PGSGv2,0.5369691925231588,1.8766938634933938
400,400,2,PGSGv2-random,0.5882545569121181,1.769713202601379
400,400,2,PLS,0.5053174865315919,1.9397768390690713
400,400,2,MLP,0.5600878606552722,1.829243259540574
400,400,2,CNN1D-shallow,0.41970700348653867,2.1009327679264063
700,700,2,PGSGv2,0.7093706481348928,1.4868194264693795
